Date,Open,High,Low,Close,Adj Close,Volume
2016-07-18,80755.890625,81110.289063,75427.593750,76957.609375,76957.609375,1251372800
2016-07-19,76220.406250,78338.210938,75849.843750,76177.820313,76177.820313,1091675800
2016-07-20,76500.976563,76784.460938,74597.250000,74902.843750,74902.843750,823191000
2016-07-21,74196.726563,74196.726563,71537.523438,71594.976563,71594.976563,929386500
2016-07-22,72728.070313,72801.929688,70426.156250,71738.429688,71738.429688,819350200
2016-07-25,72422.648438,74362.343750,72395.398438,74174.007813,74174.007813,667107000
2016-07-26,74774.781250,74831.617188,73208.679688,73689.429688,73689.429688,661149500
2016-07-27,73971.468750,75075.703125,73758.070313,75075.703125,75075.703125,708328500
2016-07-28,75482.367188,75924.320313,74884.093750,75244.062500,75244.062500,660426400
2016-07-29,75306.500000,75615.351563,74473.953125,75405.531250,75405.531250,572648000
2016-08-01,76227.867188,76843.257813,76223.257813,76711.679688,76711.679688,600197000
2016-08-02,76699.828125,76838.468750,75788.281250,75803.921875,75803.921875,687879900
2016-08-03,75690.453125,75818.578125,74142.007813,74552.148438,74552.148438,604851400
2016-08-04,74764.781250,76125.640625,74255.078125,76125.640625,76125.640625,683236700
2016-08-05,76341.898438,76745.460938,75112.117188,76065.687500,76065.687500,619537000
2016-08-08,77413.601563,77934.093750,76980.656250,77779.101563,77779.101563,668939900
2016-08-09,77908.148438,78824.906250,77711.039063,78524.890625,78524.890625,986133000
2016-08-10,78674.953125,78733.000000,77532.031250,77955.648438,77955.648438,703896400
2016-08-11,78079.726563,79066.726563,77763.343750,79033.570313,79033.570313,612290200
2016-08-12,79301.351563,79366.593750,78030.796875,78228.562500,78228.562500,608154700
2016-08-15,78719.296875,79041.406250,78244.851563,78472.570313,78472.570313,463019000
2016-08-16,78788.109375,78911.789063,77637.781250,77707.132813,77707.132813,604805500
2016-08-17,77799.140625,78599.343750,77602.242188,78147.820313,78147.820313,506123600
2016-08-18,78706.539063,78880.843750,77661.687500,77970.929688,77970.929688,496515800
2016-08-19,78003.937500,78214.468750,77274.078125,78145.593750,78145.593750,415613200
2016-08-22,77715.593750,78102.367188,77436.773438,77953.273438,77953.273438,438651000
2016-08-23,78222.210938,78292.828125,77333.609375,77333.609375,77333.609375,576129800
2016-08-24,76290.898438,76290.898438,75113.562500,76116.312500,76116.312500,692576000
2016-08-25,76464.351563,77009.148438,76442.742188,76789.890625,76789.890625,696744700
2016-08-26,76731.296875,77284.562500,76220.046875,77119.648438,77119.648438,586675800
2016-08-29,76746.859375,76949.601563,76075.562500,76118.843750,76118.843750,387860900
2016-08-30,null,null,null,null,null,null
2016-08-31,76125.929688,76517.812500,75872.039063,75967.632813,75967.632813,534733400
2016-09-01,76199.929688,76367.781250,75730.882813,75852.796875,75852.796875,463941900
2016-09-02,76049.968750,76975.468750,75973.226563,76884.320313,76884.320313,510193300
2016-09-05,77332.789063,77845.468750,77279.718750,77791.601563,77791.601563,485804400
2016-09-06,77991.453125,78195.242188,77702.687500,77994.789063,77994.789063,506827100
2016-09-07,78210.750000,78293.820313,77476.750000,77643.179688,77643.179688,452053100
2016-09-08,77867.132813,78194.843750,77447.937500,77843.492188,77843.492188,488768300
2016-09-09,77663.679688,77753.906250,77020.828125,77053.539063,77053.539063,634887500
2016-09-12,null,null,null,null,null,null
2016-09-13,null,null,null,null,null,null
2016-09-14,null,null,null,null,null,null
2016-09-15,null,null,null,null,null,null
2016-09-16,77141.679688,77255.421875,76010.398438,76020.289063,76020.289063,556714000
2016-09-19,76512.000000,77745.242188,76512.000000,77670.750000,77670.750000,590364300
2016-09-20,77654.562500,77714.492188,77014.109375,77313.460938,77313.460938,649616700
2016-09-21,77452.648438,78136.132813,77157.468750,77915.890625,77915.890625,667226400
2016-09-22,78856.148438,79897.906250,78781.203125,79795.937500,79795.937500,872702900
2016-09-23,79790.742188,80087.062500,79515.500000,79756.437500,79756.437500,650623200
2016-09-26,76243.507813,76952.351563,76148.328125,76725.726563,76725.726563,856709600
2016-09-27,76972.343750,77483.507813,76651.898438,77160.671875,77160.671875,636268500
